Tahun,PDB,Inflasi,Suku Bunga,Penjualan
2016-1-1,,4.14,7.25,10
2016-2-1,,4.42,7,20
2016-3-1,"2,264,721.00",4.45,6.75,43
2016-4-1,,3.6,6.75,49
2016-5-1,,3.33,6.5,32
2016-6-1,"2,355,445.00",3.45,6.5,16
2016-7-1,,3.21,6.5,17
2016-8-1,,2.79,5.25,13
2016-9-1,"2,429,260.60",3.07,5,18
2016-10-1,,3.31,4.75,18
2016-11-1,,3.58,4.75,15
2016-12-1,"2,385,186.80",3.02,4.75,3
2017-1-1,,3.49,4.75,5
2017-2-1,,3.83,4.75,529
2017-3-1,"2,378,146.40",3.61,4.75,216
2017-4-1,,4.17,4.75,238
2017-5-1,,4.33,4.75,173
2017-6-1,"2,473,512.90",4.37,4.75,172
2017-7-1,,3.88,4.75,243
2017-8-1,,3.82,4.5,147
2017-9-1,"2,552,296.90",3.72,4.25,53
2017-10-1,,3.58,4.25,82
2017-11-1,,3.3,4.25,90
2017-12-1,"2,508,971.90",3.61,4.25,141
2018-1-1,,3.25,4.25,1
2018-2-1,,3.18,4.25,8
2018-3-1,"2,498,697.50",3.4,4.25,7
2018-4-1,,3.41,4.25,5
2018-5-1,,3.23,4.25,4
2018-6-1,"2,603,852.60",3.12,5.25,4
2018-7-1,,3.18,5.25,4
2018-8-1,,3.2,5.5,14
2018-9-1,"2,684,332.20",2.88,5.75,16
2018-10-1,,3.16,5.75,0
2018-11-1,,3.23,6,9
2018-12-1,"2,638,969.60",3.13,6,8
2019-1-1,,2.82,6,6
2019-2-1,,2.57,6,24
2019-3-1,"2,625,180.50",2.48,6,24
2019-4-1,,2.83,6,86
2019-5-1,,3.32,6,131
2019-6-1,"2,735,414.10",3.28,6,52
2019-7-1,,3.32,5.75,59
2019-8-1,,3.49,5.5,164
2019-9-1,"2,818,812.70",3.39,5.25,90
2019-10-1,,3.13,5,83
2019-11-1,,3,5,76
2019-12-1,"2,769,748.10",2.72,5,59
2020-1-1,,2.68,5,56
2020-2-1,,2.98,4.75,87
2020-3-1,"2,703,027.10",2.96,4.5,90
2020-4-1,,2.67,4.5,11
2020-5-1,,2.19,4.5,3
2020-6-1,"2,589,769.20",1.96,4.25,31
2020-7-1,,1.54,4,63
2020-8-1,,1.32,4,137
2020-9-1,"2,720,481.30",1.42,4,237
2020-10-1,,1.44,4,251
2020-11-1,,1.59,3.75,187
2020-12-1,"2,709,721.70",1.68,3.75,183
2021-1-1,,1.55,3.75,276
2021-2-1,,1.38,3.5,460
2021-3-1,"2,684,445.50",1.37,3.5,400
2021-4-1,,1.42,3.5,400
2021-5-1,,1.68,3.5,197
2021-6-1,"2,773,065.20",1.33,3.5,168
2021-7-1,,1.52,3.5,132
2021-8-1,,1.59,3.5,210
2021-9-1,"2,816,492.10",1.6,3.5,149
2021-10-1,,1.66,3.5,205
2021-11-1,,1.75,3.5,258
2021-12-1,"2,846,056.90",1.87,3.5,348
2022-1-1,,2.18,3.5,131
2022-2-1,,2.06,3.5,357
2022-3-1,"2,819,331.80",2.64,3.5,232
2022-4-1,,3.47,3.5,300
2022-5-1,,3.55,3.5,1407
2022-6-1,"2,924,444.00",4.35,3.5,1393
2022-7-1,,4.94,3.5,1031
2022-8-1,,4.69,3.75,1815
2022-9-1,"2,977,920.00",5.95,4.25,2801
2022-10-1,,5.71,4.75,2803
2022-11-1,,5.42,5.25,3166
2022-12-1,"2,988,527.40",5.51,5.5,5245
2023-1-1,,5.28,5.75,2576
2023-2-1,,5.47,5.75,2367
2023-3-1,"2,961,564.40",4.97,5.75,3275
2023-4-1,,4.33,5.75,4159
2023-5-1,,4,5.75,4864
2023-6-1,"3,075,781.90",3.52,5.75,5968
2023-7-1,,3.08,5.75,6828
2023-8-1,,3.27,5.75,8521
2023-9-1,"3,124,968.20",2.28,5.75,7046
2023-10-1,,2.56,6,6354
2023-11-1,,2.86,6,8352
2023-12-1,"3,139,160.60",2.61,6,9619
2024-1-1,,2.57,6,7176
2024-2-1,,2.75,6,4999
2024-3-1,"3,113,039.90",3.05,6,6966
2024-4-1,,3,6.25,5259
2024-5-1,,2.84,6.25,6054
2024-6-1,"3,230,990.30",2.51,6.25,7879
2024-7-1,,2.13,6.25,9292
2024-8-1,,2.12,6.25,10975
2024-9-1,"3,279,509.80",1.84,6,10426
2024-10-1,,1.71,6,10159
2024-11-1,,1.55,6,10481
2024-12-1,"3,296,741.70",1.57,6,10148
