Tahun,PDB,Inflasi,Suku Bunga,Penjualan
2016-1-1,2193600.333,4.14,7.25,10
2016-2-1,2229160.667,4.42,7,20
2016-3-1,2264721,4.45,6.75,43
2016-4-1,2294962.333,3.6,6.75,49
2016-5-1,2325203.667,3.33,6.5,32
2016-6-1,2355445,3.45,6.5,16
2016-7-1,2380050.2,3.21,6.5,17
2016-8-1,2404655.4,2.79,5.25,13
2016-9-1,2429260.6,3.07,5,18
2016-10-1,2414569.333,3.31,4.75,18
2016-11-1,2399878.067,3.58,4.75,15
2016-12-1,2385186.8,3.02,4.75,3
2017-1-1,2382840,3.49,4.75,5
2017-2-1,2380493.2,3.83,4.75,529
2017-3-1,2378146.4,3.61,4.75,216
2017-4-1,2409935.233,4.17,4.75,238
2017-5-1,2441724.067,4.33,4.75,173
2017-6-1,2473512.9,4.37,4.75,172
2017-7-1,2499774.233,3.88,4.75,243
2017-8-1,2526035.567,3.82,4.5,147
2017-9-1,2552296.9,3.72,4.25,53
2017-10-1,2537855.233,3.58,4.25,82
2017-11-1,2523413.567,3.3,4.25,90
2017-12-1,2508971.9,3.61,4.25,141
2018-1-1,2505547.1,3.25,4.25,1
2018-2-1,2502122.3,3.18,4.25,8
2018-3-1,2498697.5,3.4,4.25,7
2018-4-1,2533749.2,3.41,4.25,5
2018-5-1,2568800.9,3.23,4.25,4
2018-6-1,2603852.6,3.12,5.25,4
2018-7-1,2630679.133,3.18,5.25,4
2018-8-1,2657505.667,3.2,5.5,14
2018-9-1,2684332.2,2.88,5.75,16
2018-10-1,2669211.333,3.16,5.75,0
2018-11-1,2654090.467,3.23,6,9
2018-12-1,2638969.6,3.13,6,8
2019-1-1,2634373.233,2.82,6,6
2019-2-1,2629776.867,2.57,6,24
2019-3-1,2625180.5,2.48,6,24
2019-4-1,2661925.033,2.83,6,86
2019-5-1,2698669.567,3.32,6,131
2019-6-1,2735414.1,3.28,6,52
2019-7-1,2763213.633,3.32,5.75,59
2019-8-1,2791013.167,3.49,5.5,164
2019-9-1,2818812.7,3.39,5.25,90
2019-10-1,2802457.833,3.13,5,83
2019-11-1,2786102.967,3,5,76
2019-12-1,2769748.1,2.72,5,59
2020-1-1,2747507.767,2.68,5,56
2020-2-1,2725267.433,2.98,4.75,87
2020-3-1,2703027.1,2.96,4.5,90
2020-4-1,2665274.467,2.67,4.5,11
2020-5-1,2627521.833,2.19,4.5,3
2020-6-1,2589769.2,1.96,4.25,31
2020-7-1,2633339.9,1.54,4,63
2020-8-1,2676910.6,1.32,4,137
2020-9-1,2720481.3,1.42,4,237
2020-10-1,2716894.767,1.44,4,251
2020-11-1,2713308.233,1.59,3.75,187
2020-12-1,2709721.7,1.68,3.75,183
2021-1-1,2701296.3,1.55,3.75,276
2021-2-1,2692870.9,1.38,3.5,460
2021-3-1,2684445.5,1.37,3.5,400
2021-4-1,2713985.4,1.42,3.5,400
2021-5-1,2743525.3,1.68,3.5,197
2021-6-1,2773065.2,1.33,3.5,168
2021-7-1,2787540.833,1.52,3.5,132
2021-8-1,2802016.467,1.59,3.5,210
2021-9-1,2816492.1,1.6,3.5,149
2021-10-1,2826347.033,1.66,3.5,205
2021-11-1,2836201.967,1.75,3.5,258
2021-12-1,2846056.9,1.87,3.5,348
2022-1-1,2837148.533,2.18,3.5,131
2022-2-1,2828240.167,2.06,3.5,357
2022-3-1,2819331.8,2.64,3.5,232
2022-4-1,2854369.2,3.47,3.5,300
2022-5-1,2889406.6,3.55,3.5,1407
2022-6-1,2924444,4.35,3.5,1393
2022-7-1,2942269.333,4.94,3.5,1031
2022-8-1,2960094.667,4.69,3.75,1815
2022-9-1,2977920,5.95,4.25,2801
2022-10-1,2981455.8,5.71,4.75,2803
2022-11-1,2984991.6,5.42,5.25,3166
2022-12-1,2988527.4,5.51,5.5,5245
2023-1-1,2979539.733,5.28,5.75,2576
2023-2-1,2970552.067,5.47,5.75,2367
2023-3-1,2961564.4,4.97,5.75,3275
2023-4-1,2999636.9,4.33,5.75,4159
2023-5-1,3037709.4,4,5.75,4864
2023-6-1,3075781.9,3.52,5.75,5968
2023-7-1,3092177.333,3.08,5.75,6828
2023-8-1,3108572.767,3.27,5.75,8521
2023-9-1,3124968.2,2.28,5.75,7046
2023-10-1,3129699,2.56,6,6354
2023-11-1,3134429.8,2.86,6,8352
2023-12-1,3139160.6,2.61,6,9619
2024-1-1,3130453.7,2.57,6,7176
2024-2-1,3121746.8,2.75,6,4999
2024-3-1,3113039.9,3.05,6,6966
2024-4-1,3152356.7,3,6.25,5259
2024-5-1,3191673.5,2.84,6.25,6054
2024-6-1,3230990.3,2.51,6.25,7879
2024-7-1,3247163.467,2.13,6.25,9292
2024-8-1,3263336.633,2.12,6.25,10975
2024-9-1,3279509.8,1.84,6,10426
2024-10-1,3285253.767,1.71,6,10159
2024-11-1,3290997.733,1.55,6,10481
2024-12-1,3296741.7,1.57,6,10148
