Tahun,Bulan,Tanggal,Penjualan,GDP,Inflasi,Suku Bunga,TPT,CPI
2007,Januari,2007-1-1,0,469281.3,6.26,9.5,10.28,167.22
2007,Februari,2007-2-1,0,472461.5,6.3,9.3,10.19166667,167.27
2007,Maret,2007-3-1,0,475641.7,6.52,9,10.10333333,167.42
2007,April,2007-4-1,0,479901.5,6.29,9,10.015,167.79
2007,Mei,2007-5-1,0,484161.3,6.01,8.8,9.926666667,168
2007,Juni,2007-6-1,0,488421.1,5.77,8.5,9.838333333,168.19
2007,Juli,2007-7-1,0,494591.7333,6.06,8.3,9.75,168.27
2007,Agustus,2007-8-1,0,500762.3667,6.51,8.3,9.643333333,168.33
2007,September,2007-9-1,0,506933,6.95,8.3,9.536666667,168.44
2007,Oktober,2007-10-1,2,502399.1667,6.88,8.3,9.43,169.23
2007,November,2007-11-1,5,497865.3333,6.71,8.3,9.323333333,168.78
2007,Desember,2007-12-1,0,493331.5,6.59,8,9.216666667,169.15
2008,Januari,2008-1-1,0,497293.9333,7.36,8,9.11,169.55
2008,Februari,2008-2-1,0,501256.3667,7.4,8,9.001666667,169.59
2008,Maret,2008-3-1,0,505218.8,8.17,8,8.893333333,169.77
2008,April,2008-4-1,0,509880.7333,8.96,8,8.785,167.77
2008,Mei,2008-5-1,0,514542.6667,10.38,8.3,8.676666667,171.51
2008,Juni,2008-6-1,0,519204.6,11.03,8.5,8.568333333,109.5
2008,Juli,2008-7-1,1,525683.4,11.9,8.8,8.46,110.28
2008,Agustus,2008-8-1,0,532162.2,11.85,9,8.448333333,110.27
2008,September,2008-9-1,0,538641,12.14,9.3,8.436666667,110.51
2008,Oktober,2008-10-1,1,532224.5667,11.77,9.5,8.425,110.62
2008,November,2008-11-1,0,525808.1333,11.68,9.5,8.413333333,110.28
2008,Desember,2008-12-1,1,519391.7,11.06,9.3,8.401666667,107.26
2009,Januari,2009-1-1,0,522279.9667,9.17,8.8,8.39,104.55
2009,Februari,2009-2-1,0,525168.2333,8.6,8.3,8.348333333,102.01
2009,Maret,2009-3-1,0,528056.5,7.92,7.8,8.306666667,102.26
2008,April,2008-4-1,0,532263.6,8.96,7.5,8.265,102.33
2009,Mei,2009-5-1,0,536470.7,6.04,7.3,8.223333333,102.33
2009,Juni,2009-6-1,0,540677.8,3.65,7,8.181666667,102.59
2009,Juli,2009-7-1,2,547664.2,2.71,6.8,8.14,102.88
2009,Agustus,2009-8-1,2,554650.6,2.75,6.5,8.095,102.86
2009,September,2009-9-1,5,561637,2.83,6.5,8.05,103.78
2009,Oktober,2009-10-1,5,557251.0333,2.57,6.5,8.005,103.04
2009,November,2009-11-1,5,552865.0667,2.41,6.5,7.96,102.96
2009,Desember,2009-12-1,2,548479.1,2.78,6.5,7.915,103.32
2010,Januari,2010-1-1,0,913104.7333,3.72,6.5,7.87,103.49
2010,Februari,2010-2-1,3,1277730.367,3.81,6.5,7.793333333,103.6
2010,Maret,2010-3-1,0,1642356,3.43,6.5,7.716666667,103.67
2010,April,2010-4-1,0,1664614.667,3.91,6.5,7.64,103.71
2010,Mei,2010-5-1,1,1686873.333,4.16,6.5,7.563333333,103.73
2010,Juni,2010-6-1,0,1709132,5.05,6.5,7.486666667,103.89
2010,Juli,2010-7-1,4,1731124.633,6.22,6.5,7.41,105.46
2010,Agustus,2010-8-1,1,1753117.267,6.44,6.5,7.365,105.84
2010,September,2010-9-1,0,1775109.9,5.8,6.5,7.32,106.44
2010,Oktober,2010-10-1,0,1762584.9,5.67,6.5,7.275,105.83
2010,November,2010-11-1,0,1750059.9,6.33,6.5,7.23,105.84
2010,Desember,2010-12-1,2,1737534.9,6.96,6.5,7.185,106.1
2011,Januari,2011-1-1,2,1741147,7.02,6.5,7.14,106.43
2011,Februari,2011-2-1,0,1744759.1,6.84,6.8,7.083333333,106.59
2011,Maret,2011-3-1,0,1748371.2,6.65,6.8,7.026666667,106.68
2011,April,2011-4-1,0,1771003.533,6.16,6.8,6.97,106.75
2011,Mei,2011-5-1,1,1793635.867,5.98,6.8,6.913333333,106.9
2011,Juni,2011-6-1,1,1816268.2,5.54,6.8,6.856666667,107.06
2011,Juli,2011-7-1,0,1838128.7,4.61,6.8,6.8,107.24
2011,Agustus,2011-8-1,3,1859989.2,4.79,6.8,6.76,108.1
2011,September,2011-9-1,0,1881849.7,4.61,6.8,6.72,108.29
2011,Oktober,2011-10-1,0,1868161.867,4.42,6.5,6.68,107.85
2011,November,2011-11-1,1,1854474.033,4.15,6,6.64,107.99
2011,Desember,2011-12-1,0,1840786.2,3.79,6,6.6,108.14
2012,Januari,2012-1-1,0,1845717.533,3.65,6,6.56,108.39
2012,Februari,2012-2-1,0,1850648.867,3.56,5.8,6.52,108.46
2012,Maret,2012-3-1,0,1855580.2,3.97,5.8,6.48,108.57
2012,April,2012-4-1,11,1880059.7,4.5,5.8,6.44,108.8
2012,Mei,2012-5-1,53,1904539.2,4.45,5.8,6.4,108.88
2012,Juni,2012-6-1,39,1929018.7,4.53,5.8,6.36,108.91
2012,Juli,2012-7-1,59,1950556.567,4.56,5.8,6.32,109.25
2012,Agustus,2012-8-1,39,1972094.433,4.58,5.8,6.29,110.89
2012,September,2012-9-1,54,1993632.3,4.31,5.8,6.26,110
2012,Oktober,2012-10-1,51,1978705.6,4.61,5.8,6.23,109.98
2012,November,2012-11-1,48,1963778.9,4.32,5.8,6.2,110.23
2012,Desember,2012-12-1,53,1948852.2,4.3,5.8,6.17,110.52
2013,Januari,2013-1-1,53,1952033.3,4.57,5.8,6.14,110.21
2013,Februari,2013-2-1,42,1955214.4,5.31,5.8,6.103333333,110.3
2013,Maret,2013-3-1,39,1958395.5,5.9,5.8,6.066666667,110.51
2013,April,2013-4-1,47,1984535.867,5.57,5.8,6.03,110.62
2013,Mei,2013-5-1,43,2010676.233,5.47,5.8,5.993333333,110.67
2013,Juni,2013-6-1,37,2036816.6,5.9,6,5.956666667,114.88
2013,Juli,2013-7-1,38,2059077.1,8.61,6.5,5.92,125.91
2013,Agustus,2013-8-1,31,2081337.6,8.79,6.5,5.975,127.1
2013,September,2013-9-1,22,2103598.1,8.4,7,6.03,126.09
2013,Oktober,2013-10-1,9,2088294.6,8.32,7.3,6.085,126.76
2013,November,2013-11-1,8,2072991.1,8.37,7.5,6.14,126.79
2013,Desember,2013-12-1,9,2057687.6,8.38,7.5,6.195,127.5
2014,Januari,2014-1-1,5,2057986.7,8.22,7.5,6.25,113.72
