Tahun,Bulan,Penjualan,GDP,Inflasi,Suku Bunga,TPT
2007,Januari,0,13.05895765,6.26,9.50,10.28
2007,Februari,0,13.06571154,6.30,9.25,10.19166667
2007,Maret,0,13.07242012,6.52,9,10.10333333
2007,April,0,13.08133615,6.29,9,10.015
2007,Mei,0,13.09017339,6.01,8.75,9.926666667
2007,Juni,0,13.09893322,5.77,8.5,9.838333333
2007,Juli,0,13.11148792,6.06,8.25,9.75
2007,Agustus,0,13.12388695,6.51,8.25,9.643333333
2007,September,0,13.13613412,6.95,8.25,9.536666667
2007,Oktober,2,13.12715024,6.88,8.25,9.43
2007,November,5,13.1180849,6.71,8.25,9.323333333
2007,Desember,0,13.10893664,6.59,8,9.216666667
2008,Januari,0,13.11693655,7.36,8,9.11
2008,Februari,0,13.12487296,7.40,8,9.001666667
2008,Maret,0,13.13274688,8.17,8,8.893333333
2008,April,0,13.14193212,8.96,8,8.785
2008,Mei,0,13.15103376,10.38,8.25,8.676666667
2008,Juni,0,13.1600533,11.03,8.5,8.568333333
2008,Juli,1,13.17245441,11.90,8.75,8.46
2008,Agustus,0,13.18470361,11.85,9,8.448333333
2008,September,0,13.19680458,12.14,9.25,8.436666667
2008,Oktober,1,13.1848208,11.77,9.5,8.425
2008,November,0,13.17269166,11.68,9.5,8.413333333
2008,Desember,1,13.1604136,11.06,9.25,8.401666667
2009,Januari,0,13.16595906,9.17,8.75,8.39
2009,Februari,0,13.17147393,8.60,8.25,8.348333333
2009,Maret,0,13.17695856,7.92,7.75,8.306666667
2008,April,0,13.18489413,8.96,7.5,8.265
2009,Mei,0,13.19276723,6.04,7.25,8.223333333
2009,Juni,0,13.20057882,3.65,7,8.181666667
2009,Juli,2,13.2134176,2.71,6.75,8.14
2009,Agustus,2,13.22609364,2.75,6.5,8.095
2009,September,5,13.23861101,2.83,6.5,8.05
2009,Oktober,5,13.23077111,2.57,6.5,8.005
2009,November,5,13.22286925,2.41,6.5,7.96
2009,Desember,2,13.21490445,2.78,6.5,7.915
2010,Januari,0,13.72460587,3.72,6.5,7.87
2010,Februari,3,14.06059591,3.81,6.5,7.793333333
2010,Maret,0,14.31164235,3.43,6.5,7.716666667
2010,April,0,14.32510422,3.91,6.5,7.64
2010,Mei,1,14.33838727,4.16,6.5,7.563333333
2010,Juni,0,14.3514962,5.05,6.5,7.486666667
2010,Juli,4,14.36428183,6.22,6.5,7.41
2010,Agustus,1,14.37690606,6.44,6.5,7.365
2010,September,0,14.38937289,5.80,6.5,7.32
2010,Oktober,0,14.38229198,5.67,6.5,7.275
2010,November,0,14.37516057,6.33,6.5,7.23
2010,Desember,2,14.36797794,6.96,6.5,7.185
2011,Januari,2,14.37005465,7.02,6.5,7.14
2011,Februari,0,14.37212705,6.84,6.75,7.083333333
2011,Maret,0,14.37419517,6.65,6.75,7.026666667
2011,April,0,14.38705691,6.16,6.75,6.97
2011,Mei,1,14.39975533,5.98,6.75,6.913333333
2011,Juni,1,14.41229451,5.54,6.75,6.856666667
2011,Juli,0,14.4242586,4.61,6.75,6.8
2011,Agustus,3,14.43608124,4.79,6.75,6.76
2011,September,0,14.44776573,4.61,6.75,6.72
2011,Oktober,0,14.44046555,4.42,6.5,6.68
2011,November,1,14.43311167,4.15,6,6.64
2011,Desember,0,14.42570332,3.79,6,6.6
2012,Januari,0,14.42837867,3.65,6,6.56
2012,Februari,0,14.43104687,3.56,5.75,6.52
2012,Maret,0,14.43370798,3.97,5.75,6.48
2012,April,11,14.44681409,4.50,5.75,6.44
2012,Mei,53,14.45975065,4.45,5.75,6.4
2012,Juni,39,14.47252199,4.53,5.75,6.36
2012,Juli,59,14.48362531,4.56,5.75,6.32
2012,Agustus,39,14.4946067,4.58,5.75,6.29
2012,September,54,14.50546881,4.31,5.75,6.26
2012,Oktober,51,14.49795345,4.61,5.75,6.23
2012,November,48,14.49038119,4.32,5.75,6.2
2012,Desember,53,14.48275114,4.30,5.75,6.17
2013,Januari,53,14.48438211,4.57,5.75,6.14
2013,Februari,42,14.48601041,5.31,5.75,6.103333333
2013,Maret,39,14.48763607,5.90,5.75,6.066666667
2013,April,47,14.50089562,5.57,5.75,6.03
2013,Mei,43,14.51398166,5.47,5.75,5.993333333
2013,Juni,37,14.52689866,5.90,6,5.956666667
2013,Juli,38,14.53776843,8.61,6.5,5.92
2013,Agustus,31,14.54852132,8.79,6.5,5.975
2013,September,22,14.55915982,8.40,7,6.03
2013,Oktober,9,14.55185831,8.32,7.25,6.085
2013,November,8,14.5445031,8.37,7.5,6.14
2013,Desember,9,14.53709339,8.38,7.5,6.195
2014,Januari,5,14.53723873,8.22,7.5,6.25
2014,Februari,10,14.53738406,7.75,7.5,6.158333333
2014,Maret,31,14.53752936,7.32,7.5,6.066666667
2014,April,40,14.55020833,7.25,7.5,5.975
2014,Mei,30,14.56272855,7.32,7.5,5.883333333
