Tanggal,Penjualan,GDP,Inflasi,Suku Bunga,TPT,CPI
2016-1-1,10,"2,270,193.13",4.14,7.3,6.18,123.93
2016-2-1,20,"2,267,457.07",4.42,7,6.066666667,123.74
2016-3-1,43,"2,264,721.00",4.45,6.8,5.953333333,123.47
2016-4-1,49,"2,294,962.33",3.6,6.8,5.84,121.5
2016-5-1,32,"2,325,203.67",3.33,6.8,5.726666667,121.76
2016-6-1,16,"2,355,445.00",3.45,6.8,5.613333333,122.53
2016-7-1,17,"2,380,050.20",3.21,6.5,5.5,124.03
2016-8-1,13,"2,404,655.40",2.79,5.3,5.518333333,122.76
2016-9-1,18,"2,429,260.60",3.07,5,5.536666667,122.99
2016-10-1,18,"2,414,569.33",3.31,4.8,5.555,122.95
2016-11-1,15,"2,399,878.07",3.58,4.8,5.573333333,123.04
2016-12-1,3,"2,385,186.80",3.02,4.8,5.591666667,124.42
2017-1-1,5,"2,382,840.00",3.49,4.8,5.61,127.35
2017-2-1,15,"2,380,493.20",3.83,4.8,5.563333333,127.54
2017-3-1,12,"2,378,146.40",3.61,4.8,5.516666667,127.37
2017-4-1,8,"2,409,935.23",4.17,4.8,5.47,127.72
2017-5-1,10,"2,441,724.07",4.33,4.8,5.423333333,128.01
2017-6-1,11,"2,473,512.90",4.37,4.8,5.376666667,129.64
2017-7-1,25,"2,499,774.23",3.88,4.8,5.33,129.54
2017-8-1,20,"2,526,035.57",3.82,4.5,5.358333333,128.76
2017-9-1,17,"2,552,296.90",3.72,4.3,5.386666667,128.78
2017-10-1,23,"2,537,855.23",3.58,4.3,5.415,128.61
2017-11-1,25,"2,523,413.57",3.3,4.3,5.443333333,128.72
2017-12-1,15,"2,508,971.90",3.61,4.3,5.471666667,129.68
2018-1-1,1,"2,505,547.10",3.25,4.3,5.5,129.32
2018-2-1,8,"2,502,122.30",3.18,4.3,5.438333333,129.34
2018-3-1,7,"2,498,697.50",3.4,4.3,5.376666667,129.7
2018-4-1,5,"2,533,749.20",3.41,4.3,5.315,129.95
2018-5-1,4,"2,568,800.90",3.23,4.8,5.253333333,130.19
2018-6-1,4,"2,603,852.60",3.12,5.3,5.191666667,132.14
2018-7-1,4,"2,630,679.13",3.18,5.3,5.13,131.28
2018-8-1,14,"2,657,505.67",3.2,5.5,5.165,131.08
2018-9-1,16,"2,684,332.20",2.88,5.8,5.2,131.02
2018-10-1,0,"2,669,211.33",3.16,5.8,5.235,131.36
2018-11-1,9,"2,654,090.47",3.23,6,5.27,132.09
2018-12-1,20,"2,638,969.60",3.13,6,5.305,133.78
2019-1-1,5,"2,634,373.23",2.82,6,5.34,133.56
2019-2-1,24,"2,629,776.87",2.57,6,5.285,133.63
2019-3-1,24,"2,625,180.50",2.48,6,5.23,133.76
2019-4-1,87,"2,661,925.03",2.83,6,5.175,134.13
2019-5-1,131,"2,698,669.57",3.32,6,5.12,134.85
2019-6-1,52,"2,735,414.10",3.28,6,5.065,134.66
2019-7-1,61,"2,763,213.63",3.32,5.8,5.01,134.18
2019-8-1,164,"2,791,013.17",3.49,5.5,5.055,133.44
2019-9-1,90,"2,818,812.70",3.39,5.3,5.1,133.45
2019-10-1,83,"2,802,457.83",3.13,5,5.145,133.34
2019-11-1,76,"2,786,102.97",3,5,5.19,133.24
2019-12-1,59,"2,769,748.10",2.72,5,5.235,134.01
2020-1-1,54,"2,747,507.77",2.68,5,5.28,102.97
2020-2-1,87,"2,725,267.43",2.98,4.8,5.231666667,102.59
2020-3-1,90,"2,703,027.10",2.96,4.5,5.183333333,102.15
2020-4-1,12,"2,665,274.47",2.67,4.5,5.135,101.72
2020-5-1,3,"2,627,521.83",2.19,4.5,5.086666667,102.61
2020-6-1,31,"2,589,769.20",1.96,4.3,5.038333333,103.03
2020-7-1,63,"2,633,339.90",1.54,4,4.99,102.85
2020-8-1,137,"2,676,910.60",1.32,4,5.336666667,102.71
2020-9-1,237,"2,720,481.30",1.42,4,5.683333333,102.37
2020-10-1,251,"2,716,894.77",1.44,4,6.03,102.23
2020-11-1,187,"2,713,308.23",1.59,3.8,6.376666667,102.54
2020-12-1,203,"2,709,721.70",1.68,3.8,6.723333333,103.01
2021-1-1,276,"2,701,296.30",1.55,3.8,7.07,102.7
2021-2-1,460,"2,692,870.90",1.38,3.5,6.935,103.01
2021-3-1,400,"2,684,445.50",1.37,3.5,6.8,102.75
2021-4-1,400,"2,713,985.40",1.42,3.5,6.665,102.75
2021-5-1,197,"2,743,525.30",1.68,3.5,6.53,103.48
2021-6-1,168,"2,773,065.20",1.33,3.5,6.395,103.12
2021-7-1,132,"2,787,540.83",1.52,3.5,6.26,103.11
2021-8-1,210,"2,802,016.47",1.59,3.5,6.298333333,103.06
2021-9-1,150,"2,816,492.10",1.6,3.5,6.336666667,103.13
2021-10-1,206,"2,826,347.03",1.66,3.5,6.375,103.47
2021-11-1,258,"2,836,201.97",1.75,3.5,6.413333333,104
2021-12-1,348,"2,846,056.90",1.87,3.5,6.451666667,104.64
2022-1-1,131,"2,837,148.83",2.18,3.5,6.49,104.66
2022-2-1,357,"2,828,240.77",2.06,3.5,6.38,104.73
2022-3-1,232,"2,819,332.70",2.64,3.5,6.27,105.17
2022-4-1,300,"2,854,368.93",3.47,3.5,6.16,107.72
2022-5-1,1408,"2,889,405.17",3.55,3.5,6.05,108.42
2022-6-1,1397,"2,924,441.40",4.35,3.5,5.94,108.74
2022-7-1,1036,"2,942,269.23",4.94,3.5,5.83,109.97
2022-8-1,1816,"2,960,097.07",4.69,3.8,5.835,109.88
2022-9-1,2801,"2,977,924.90",5.95,4.3,5.84,119.64
2022-10-1,2804,"2,981,466.23",5.71,4.8,5.845,120.06
2022-11-1,3166,"2,985,007.57",5.42,5.3,5.85,120.07
2022-12-1,5245,"2,988,548.90",5.51,5.5,5.855,120.61
2023-1-1,2621,"2,979,545.80",5.28,5.8,5.86,119.22
2023-2-1,2402,"2,970,542.70",5.47,5.8,5.791666667,118.96
2023-3-1,3336,"2,961,539.60",4.97,5.8,5.723333333,119.6
2023-4-1,4195,"2,999,618.60",4.33,5.8,5.655,120.6
2023-5-1,4900,"3,037,697.60",4,5.8,5.586666667,119.93
2023-6-1,6028,"3,075,776.60",3.52,5.8,5.518333333,119.81
2023-7-1,6888,"3,092,182.03",3.08,5.8,5.45,120.5
2023-8-1,8677,"3,108,587.47",3.27,5.8,5.428333333,120.48
2023-9-1,7095,"3,124,992.90",2.28,5.8,5.406666667,120.83
2023-10-1,7893,"3,129,690.10",2.56,6,5.385,121.5
2023-11-1,8383,"3,134,387.30",2.86,6,5.363333333,121.59
2023-12-1,9656,"3,139,084.50",2.61,6,5.341666667,122.14
2024-1-1,7176,"3,079,902.87",2.57,6,5.32,108.85
2024-2-1,4999,"3,020,721.23",2.75,6,5.236666667,109.04
2024-3-1,7106,"2,961,539.60",3.05,6,5.153333333,109.08
2024-4-1,5261,"2,999,618.60",3,6.3,5.07,110.09
2024-5-1,6054,"3,037,697.60",2.84,6.3,4.986666667,109.69
2024-6-1,7879,"3,075,776.60",2.51,6.3,4.903333333,109.81
2024-7-1,9292,"3,092,182.03",2.13,6.3,4.82,109.84
2024-8-1,10974,"3,108,587.47",2.12,6.3,4.835,110.08
2024-9-1,10426,"3,124,992.90",1.84,6,4.85,109.9
2024-10-1,10159,"3,129,690.10",1.71,6,4.865,109.33
2024-11-1,11435,"3,134,387.30",1.55,6,4.88,109.44
20214-12-1,10147,"3,139,084.50",1.57,6,4.895,109.48
